PMID,Abstract
39921056,"In the present study, we investigated the potential use of five linear peptides as a potential antigens for the immunodiagnosis of tegumentary leishmaniasis (TL) and canine visceral leishmaniasis (CVL). We used bioinformatics approaches to identify linear B-cell epitopes in five hypothetical proteins from a Leishmania (Leishmania) infantum proteome study. To obtain the peptide sequences of each hypothetical protein, we used the GenBank and SwissProt online databases. These peptides were synthesized and tested, alone or in a cocktail, in enzyme-linked immunosorbent assays (ELISAs) against serum samples from patients with TL and from dogs infected with CVL. Our data shows that for CVL diagnosis, the best results were found with peptides 1 and 5, which showed sensitivity values of 97.30% and 94.54%, and specificity values of 93.83% (pep 1) and 91.63% (pep 5), respectively. For TL, all peptides showed higher sensitivity and specificity when compared with SLALb, with the peptide cocktail obtaining a 99.10% accuracy. This study's outcome suggests that these peptides may constitute a potential tool for a more sensitive and specific serodiagnosis of TL and CVL."
39921049,"Circular RNAs (circRNAs) are a large class of widely expressed RNAs with covalently closed continuous structures. However, it is currently unknown if circRNAs shows allele-specific expression, as are the consequences of genetic variation on their circularization efficiency and subsequent biological function. Here, we propose a novel pipeline, ASE-circRNA, to accurately quantify both circRNA and their related linear RNA for each allele, and then assess the allele-specificity of the expression of a circular RNA. We identified and analyzed allele-specific circRNAs from human tissue, as well as brains from reciprocal crosses between pairs of highly divergent strains of both mice and pigs by next generation sequencing. Droplet digital PCR (ddPCR) was used to confirm the circularization efficiency measured by next generation sequencing. We found that variation in intron sequences affect the circularization efficiency of circRNAs. Furthermore, we demonstrate that a circRNA, circHK1, regulates the expression of POLR2A to influence the rate of cell proliferation. Our study provides new insight into the molecular mechanisms impacted by variation in genome sequence in the origin of human disease and phenotype."
39921040,Tissue-resident memory CD4 T cells (Trm) are linked to asthma exacerbations and being able to reduce their frequency or activity has implications for clinical therapy.
39921821,"Over the past few years, the tumor microbiome is increasingly recognized for its multifaceted involvement in cancer initiation, progression, and metastasis. With the application of 16S ribosomal ribonucleic acid (16S rRNA) sequencing, the intratumoral microbiome, also referred to as tumor-intrinsic or tumor-resident microbiome, has also been found to play a significant role in the tumor microenvironment (TME). Understanding their complex functions is critical for identifying new therapeutic avenues and improving treatment outcomes. This review first summarizes the origins and composition of these microbial communities, emphasizing their adapted diversity across a diverse range of tumor types and stages. Moreover, we outline the general mechanisms by which specific microbes induce tumor initiation, including the activation of carcinogenic pathways, deoxyribonucleic acid (DNA) damage, epigenetic modifications, and chronic inflammation. We further propose the tumor microbiome may evade immunity and promote angiogenesis to support tumor progression, while uncovering specific microbial influences on each step of the metastatic cascade, such as invasion, circulation, and seeding in secondary sites. Additionally, tumor microbiome is closely associated with drug resistance and influences therapeutic efficacy by modulating immune responses, drug metabolism, and apoptotic pathways. Furthermore, we explore innovative microbe-based therapeutic strategies, such as engineered bacteria, oncolytic virotherapy, and other modalities aimed at enhancing immunotherapeutic efficacy, paving the way for microbiome-centered cancer treatment frameworks."
39921808,"The Lewis spider mite (LSM), Eotetranychus lewisi, is an important pest of poinsettias (Euphorbia pulcherrima) and agricultural crops worldwide. In Europe it is a quarantine-regulated pest with established outdoor populations in Portugal. We investigated the pest status and host plants of the LSM in Madeira and the Algarve, collecting and inspecting plants and crops. The LSM was mainly found on naturalized poinsettias and castor-bean. Additionally, live mites were collected in very low numbers from plants of vine, cherimoya, mango, papaya, cherry plum, wild tobacco, and bladder vine, in direct contact or close to LSM-infested poinsettias, strongly suggesting these plants would not be breeding hosts. LSM abundance was low and no damage was observed. Mites were absent from strawberry, bramble and citrus, important hosts worldwide. Field surveys were complemented with a citizen-science experiment in outdoor conditions to test whether proximity to mite-infested poinsettias affected subsequent detections on poinsettia, strawberry, or grapevine. After two months of exposure to potentially dispersing LSM individuals and a further two months under controlled conditions to allow the mite to develop, LSM was detected on the three-recipient species but at low infestation rates, with a higher number of infested leaves and abundance on poinsettias, and absence of damages to crops. Overall, we conclude that the primary reservoirs for LSM populations in southwestern Europe are poinsettia and castor-bean plants, and our results suggest that the LSM is not causing damages to crops and may not be as harmful as expected, which can have implications to the current quarantine-regulation of this mite in Europe."
39921774,"The gut microbiota plays a crucial role in the communication between the gut, liver, and brain through the production of short chain fatty acids (SCFAs). SCFAs serve as key mediators in the Gut-Liver-Brain Axis, influencing various physiological processes and contributing to overall health. SCFAs are produced by bacterial fermentation of dietary fiber in the gut, and they exert systemic effects by signaling through various pathways. In the Gut-Liver axis, SCFAs regulate liver metabolism through peroxisome proliferator-activated receptor-γ (PPAR-γ), AMP-activated protein kinase (AMPK) and other pathways, promotes fat oxidation, modulate inflammation through mTOR pathway, and impact metabolic health. In the Gut-Brain axis, SCFAs influence brain function, behavior, and may have implications for neurological disorders, in which G-protein coupled receptors (GPCRs) play an essential role, along with other pathways such as hypothalamic-pituitary-adrenal (HPA) pathway. Understanding the mechanisms by which SCFAs mediate communication between the gut, liver, and brain is crucial for elucidating the complex interplay of the Gut-Liver-Brain Axis. This review aims to provide insight into the role of gut microbiota-derived SCFAs as mediators of the Gut-Liver-Brain Axis and their potential therapeutic implications. Further research in this area will be instrumental in developing novel strategies to target the Gut-Liver-Brain Axis for the prevention and treatment of various health conditions."
39921773,"Anorexia nervosa (AN) and depression are complex conditions with high comorbidity, impacting mental and physical health. Recent research suggests gut microbiota plays a significant role in their development and progression. This correspondence highlights the critical gaps in understanding the gut-brain axis in AN and depression, emphasizing the need for comprehensive research. We discuss recent findings, including altered gut microbiota profiles and inflammatory factors, and identify key areas for future investigation. These include large-scale, multi-center studies to quantify microbiota profiles, mechanistic understanding of gut microbiota alterations, and diagnostic and therapeutic advances using microbiota as biomarkers. Addressing these gaps is crucial for developing effective treatment strategies and improving patient outcomes. By exploring the underlying mechanisms, validating biomarkers, and developing targeted therapies, we can enhance diagnostic accuracy, improve treatment outcomes, and better support patients with AN and depression. This research has the potential to transform the management of these conditions and improve quality of life for those affected.Level of evidence Low level of evidence as it is a personal opinion."
39921729,"Emerging research indicates that gut microbiota and the associated immune responses are crucial in the development of chronic inflammatory skin diseases. This investigation employs Mendelian Randomization (MR) and Bayesian weighting to elucidate the causal links between gut microbiota, immune cells, and psoriasis, with a specific emphasis on CD8 + T cells. We leveraged summary statistics from genome-wide association studies (GWAS) related to gut microbiota, immune cells, and psoriasis. Single nucleotide polymorphisms (SNPs) were chosen as instrumental variables (IVs) to evaluate causal relationships through various MR methods, such as inverse variance weighted (IVW), MR Egger, weighted median, and simple mode. Additionally, Bayesian weighting was used to validate results and account for potential pleiotropy. The IVW analysis revealed significant associations between certain gut microbiota and psoriasis, notably identifying a protective link between Escherichia coli and psoriasis. Further MR analysis demonstrated that Escherichia coli had a causal relationship with CD8 + T cells. Increased levels of CD8 + T cells were associated with a higher risk of psoriasis. BWMR analysis confirmed these findings, showing that CD8 + T cells mediated 10.09% of the protective effect of Escherichia coli on psoriasis. This study underscores the significant role of Escherichia coli and CD8 + T cells in psoriasis, suggesting both protective and exacerbating effects. Understanding these microbiota-immune interactions can lead to the development of more effective, personalized treatments and preventative strategies, ultimately improving patient outcomes and quality of life."
39921224,"Benthic bacterial communities are sensitive to habitat condition and present a fast response to environmental stressors, which makes them powerful ecological indicators of estuarine environments. The aim of this work is to study the spatial-temporal patterns of benthic bacterial communities in response to contrasting environmental conditions and assess their potential as ecological indicators of estuarine sediments. We characterized the diversity of bacterial communities in three contrasting sites on Sado Estuary (SW Coast, Portugal) and 4 sampling occasions, using 16S metagenomic approach. Based on previous studies, we hypothesized that diversity patterns of bacterial communities will be distinct between sites and across sampling occasions. Bacterial communities were more influenced by each site conditions than by temporal variations in the sediments. The main drivers of bacterial distribution were sediments' composition, organic contents, and hydrodynamic activity. This work provided an important baseline dataset from Sado estuary to explore bacterial networks concerning benthic ecosystem functioning."
39920970,"To evaluate the potential differences in plankton diversity and stability within freshwater lake and reservoir ecosystems, this study employed eDNA metabarcoding to analyze the diversity, assembly mechanisms, stability, and environmental drivers of plankton communities in natural water (Y region) and artificial lake water (M region) at Liupanshui Minghu National Wetland Park, Guizhou Province, China. The study revealed notable regional variations in plankton diversity and assembly mechanisms. Specifically, Shannon, Simpson, and Pielou's evenness indices were higher in the M region, suggesting a more complex species composition compared to the Y region. Analysis of community assembly mechanisms indicated that both regions were influenced by a combination of stochastic and deterministic processes, with stochastic processes serving as the dominant driver. Through LEfSe analysis, Random Forest predictions, and molecular ecological network evaluations, certain OTUs identified as ""dual-characteristic"" species were consistently highlighted. These species may play a critical role in shaping community composition and contributing to stability. Environmental drivers further clarified these differences. Redundancy analysis (RDA) demonstrated that TDS was the primary factor driving regional differences in key zooplankton species, while EC and DO were significant factors influencing the distribution of key phytoplankton species. Stability assessments, which combined molecular ecological network analysis and the coefficient of variation in species population density, revealed higher stability in the Y region. This indicates that the natural water system (Y region) has a greater resistance to disturbances compared to the artificial system in the M region. The findings provide fundamental support for assessing the health of aquatic ecosystems, as well as for the effective monitoring and biodiversity conservation of lake and reservoir ecosystems."
39920968,"Microplastics serve as favorable substrates for microbial colonization, promoting biofilm formation, which consequently facilitates the accumulation of pollutants and aids in the degradation of microplastics. Hence, obtaining a thorough comprehension of the factors that influence the development of microplastic biofilms is imperative. Nevertheless, there have been conflicting responses concerning biofilm formation in conjunction with microplastic characteristics and environmental conditions. As a result, a meta-analysis was conducted to quantitatively evaluate the impact of microplastic properties and environmental factors on biofilm formation. The findings indicated that the type and size of microplastics significantly influence biofilm growth on their surfaces. Non-degradable microplastics, particularly polyvinyl chloride (PVC) and polystyrene (PS), exhibited higher surface biomass and biodiversity in microplastic-attached biofilms compared to degradable microplastics. Furthermore, it was observed that smaller microplastics were more conducive to microbial colonization. Model selection and correlation analysis further indicated that the environment acts as a substantial predictor of biofilm formation, with prolonged exposure significantly enhancing microbial diversity within biofilms as opposed to short-term exposure. Moreover, meta-regression analysis illustrated a positive correlation between biofilm biomass and alpha-diversity with temperature, while salinity exhibited a negative correlation in diverse aquatic settings. Notably, the ease of biofilm formation on microplastics was observed to be greater in oceans compared to lakes, yet biofilms exhibited a higher diversity increment in lakes than their oceanic counterparts. In the long-term growth of biofilms, initial biomass and diversity are influenced by microplastic characteristics and the surrounding environment, although environmental influences may assume more significance as time progresses."
39920932,"We developed a complex coacervation method of preparing Cinnamomum camphora essential oil (CEO) microcapsules using gelatin and gum arabic as wall materials. The microencapsulation process was optimized using Plackett-Burman and Box-Behnken designs with a maximum yield of 84.48 ± 3.15 % and encapsulation efficiency of 91.89 ± 2.71 %. The thermogravimetric analysis demonstrated that the microencapsulation process clearly enhanced the thermal stability of the CEO, and assessment of their controlled-release ability revealed that the release mechanism of the microcapsules resembled diffusion. The CEO microcapsules exhibited effective antifungal activity against Fusarium culmorum and Fusarium sporotrichioides, and the inhibitory effect was highly correlated with the fumigation concentration of the microcapsules. This study provides valuable information for utilizing microcapsule carriers to deliver CEO as well as improve its preservation stability, which will broaden the applications of the CEO in the agricultural and food preservation industries."
39920902,"Invasive species present significant management challenges worldwide due to their ability to rapidly adapt to novel environments. The Pacific oyster Crassostrea gigas, a globally distributed invasive species, arrived in western Sweden in 2006 but has not yet colonised the low salinity waters of the Baltic Sea, presumably because low salinities act as a barrier to reproduction. We used classic mating designs to investigate fertilisation rates and heritability of embryonal salinity tolerance (in 8‰-33‰) in oysters from three locations with different invasion history and salinity (established, 33‰; past invasion front, 23.5‰; and present invasion front, 16‰). We found that fertilisation rates at lower salinities increased with proximity to the range front, with a pronounced heritable component. We then used whole-genome sequencing of oysters from the present invasion front to identify genomic regions showing stronger deviations from Mendelian inheritance in larval full-sib families reared in low salinity compared to controls. These regions contained coding sequences for Histones and ribosomal DNA, with the paternal genotype explaining a significant proportion of the deviation, suggesting the involvement of sperm in modulation of low-salinity tolerance at fertilisation and early development. Furthermore, we found no evidence of recent bottlenecks along the invasion front. We conclude that the Pacific oyster has developed low-salinity tolerant reproductive phenotypes at the present invasion front through acclimation and natural selection. Given the strong heritability for tolerance to low-salinities at fertilisation, the species likely has the potential to adapt further to low-salinity conditions and may invade the Baltic Sea."
39920864,"Neonatal mice are frequently used to model diseases that affect human infants. Microbial community composition has been shown to impact disease progression in these models. Despite this, the maturation of the early-life murine microbiome has not been well-characterized. We address this gap by characterizing the assembly of the bacterial microbiota of C57BL/6 and BALB/c litters from birth to adulthood across multiple independent litters."
39920808,"Wild edible plants (WEPs) are vital to enhance food security and generate income. Despite Ethiopia's vast area and cultural diversity, there remains a need for further investigation of WEPs. Therefore, this study aimed to document WEPs, and the indigenous knowledge associated with them in the Metema and Quara districts of north-western Ethiopia."
39920804,"Weaning-associated enteric diseases are a major concern in the swine industry. This study investigates the effects of fecal microbiota transplantation (FMT) on the jejunum of weanling piglets, a segment of bowel less studied in terms of microbiomic changes despite its primary involvement in major post-weaning enteric diseases, including postweaning diarrhea (PWD). Thirty-two 3-week-old piglets were divided equally into two groups: Control and FMT. The FMT group received fecal microbiota preparation from 3-month-old healthy pigs on the 1st and 3rd day after weaning. Half of each group was inoculated with an enterotoxigenic E. coli (ETEC) isolate 10 days post-FMT. Piglets were euthanized in the third week (14th and 18th days post-FMT) after weaning to collect intestinal tissues and contents for microbiomic, metabolomic, and transcriptomic analyses."
39920791,"Despite the approval of several artificial nanotherapeutics for the treatment of triple-negative breast cancer (TNBC), significant challenges, including unsatisfactory therapeutic outcomes, severe side effects, and the high cost of large-scale production, still restrict their long-term application. In contrast, plant-derived extracellular vesicles (PEVs) exhibit promising potential in cancer therapy due to their negligible systemic toxicity, high bioavailability and cost- effectiveness. In this study, we developed an alternative strategy to inhibit TNBC via Platycodon grandiflorum (PG)-derived extracellular vesicles (PGEVs). The PGEVs were isolated by ultracentrifugation and sucrose gradient centrifugation method and contained adequate functional components such as proteins, lipids, RNAs and active molecules. PGEVs exhibited remarkable stability, tolerating acidic digestion and undergoing minimal changes in simulated gastrointestinal fluid. They were efficiently taken up by tumor cells and induced increased production of reactive oxygen species (ROS), leading to tumor cell proliferation inhibition and apoptosis, particularly in the TNBC cell line 4T1. Additionally, PGEVs facilitated the polarization of tumor-associated macrophages (TAMs) toward M1 phenotype and increased the secretion of pro-inflammatory cytokines. Further in vivo investigations revealed that PGEVs efficiently accumulated in 4T1 tumors and exerted significant therapeutic effects through boosting systemic anti-tumor immune responses and modulating the gut microbiota whether administered orally or intravenously (i.v.). In conclusion, these findings highlight PGEVs as a promising natural, biocompatible and efficient nanotherapeutic candidate for treating TNBC."
39920790,"Synthetic human milk oligosaccharides (HMOs) are used to supplement infant formula despite limited understanding of their impact on the post-weaned developing gut microbiota. Here, we assess the influence of 0.5 g/L 2-fucosyllactose (2'FL) and 4.0 g/L pooled HMOs (pHMOs) on the composition and activity of cultured fecal-derived microbial communities from seven healthy young children."
39920776,"Altered gut microbiota has emerged as a major contributing factor to the etiology of chronic conditions in humans. Antibiotic exposure, historically dating back to the mass production of penicillin in the early 1940s, has been proposed as a primary contributor to the cumulative alteration of microbiota over generations. However, the mechanistic link between the antibiotics-altered microbiota and chronic conditions remains unclear."
39920770,"Antimicrobial peptides (AMPs) are instrumental in maintaining intestinal homeostasis and have emerged as potential therapeutic candidates for ameliorating intestinal bacterial infections. However, the intrinsic instability associated with the in vivo delivery of AMPs constitutes a substantial impediment to their therapeutic efficacy in treating infections. In this study, we genetically modified Bacillus subtilis (B. subtilis) WB600 to express Zophobas atratus defensin (ZD), an antimicrobial peptide with broad-spectrum activity isolated from Zophobas atratus, for oral administration. This engineered strain effectively protects against Salmonella Infantis (S. Infantis) infection in mice. Pretreatment with WB600/ZD prevented NF-κB pathway activation induced by S. Infantis infection and increased expression of antioxidant and tight junction proteins, thus alleviating the severity of intestinal inflammation in both the jejunum and ileum (P < 0.01). Moreover, WB600/ZD pretreatment facilitated the growth of beneficial bacteria such as Lachnospiraceae, Butyricicoccus, Eubacterium_xylanophilum, and Clostridia_UCG-014 while decreasing the abundance of pathogenic bacteria such as Escherichia-Shigella and Salmonella (P < 0.05). In conclusion, this study underscores the protective effects of WB600/ZD on S. Infantis-induced intestinal inflammation, suggesting that oral delivery of B. subtilis WB600/ZD may be a promising prophylactic strategy for combating bacterial infections in the intestine."
39920713,"Type 2 diabetes mellitus (T2DM) is the fastest-growing metabolic disease in the world. The gut microbiota is linked to T2DM. Recent studies have showed that the metabolism of gut microbiota can trigger T2DM. Low dose radiation (LDR) has been proved to activate various protective bioeffects on diabetes. However, the underlying mechanisms remain unclear."
39920535,"Non-steroidal aromatase inhibitors like tamoxifen citrate are commonly used in aquaculture for sex reversal, yet their broader impacts on fish growth, body composition, serum biochemistry, and gut histomorphology remain underexplored. This study evaluated the effects of tamoxifen citrate on hybrid red tilapia fry growth, reproductive traits, haematological parameters, biochemical profiles, and reproductive hormone levels.A total of 260 swim-up fry (mean weight 0.06 ± 0.04 g) were randomly assigned to four dietary treatments: TA0 (0 mg/kg), TA1 (200 mg/kg), TA2 (400 mg/kg), and TA3 (600 mg/kg), with three replicates of 25 fish each. Fish were fed these diets for 60 days, followed by a 90-day recovery phase in outdoor hapas. The results showed that the male percentage increased significantly with tamoxifen inclusion, reaching 96.83% at 600 mg/kg (P < 0.05). Oestrogen levels decreased, while 11-ketotestosterone increased proportionally with tamoxifen dosage (P < 0.05). Higher tamoxifen inclusion (600 mg/kg) worsened feed conversion ratio (FCR), feed conversion efficiency (FCE), and protein efficiency ratio (PER) during the treatment phase but improved these parameters during recovery, alongside enhanced weight gain and specific growth rate (SGR) (P < 0.05). Higher tamoxifen doses increased hepatosomatic (HSI), viscerosomatic (VSI), and stomach indices while reducing gonadosomatic index (GSI) (P < 0.05). Elevated dosages reduced protein and lipid content but increased moisture levels (P < 0.05). Haemoglobin, MCV, MCH, and MCHC were higher at 200-400 mg tamoxifen/kg, while haematocrit declined with higher dosages (P < 0.05). Elevated tamoxifen levels increased AST, ALT, and globulin but decreased ALP, albumin, and cholesterol (P < 0.05). Moderate tamoxifen dosages (200-400 mg/kg) are recommended for sustainable sex reversal in hybrid red tilapia, minimising physiological and histological disruptions. High dosages (> 400 mg/kg) should be avoided due to haematological stress and immune suppression. Further studies are necessary to assess long-term ecological impacts and aquatic biodiversity."
39920351,"Horseshoe bats are natural hosts of zoonotic viruses, yet the genetic basis of their antiviral immunity is poorly understood. Here we generated two new chromosomal-level genome assemblies for horseshoe bat species (Rhinolophus) and three close relatives, and show that, during their diversification, horseshoe bats underwent extensive chromosomal rearrangements and gene expansions linked to segmental duplications. These expansions have generated new adaptive variations in type I interferons and the interferon-stimulated gene ANXA2R, which potentially enhance antiviral states, as suggested by our functional assays. Genome-wide selection screens, including of candidate introgressed regions, uncover numerous putative molecular adaptations linked to immunity, including in viral receptors. By expanding taxon coverage to ten horseshoe bat species, we identify new variants of the SARS-CoV-2 receptor ACE2, and report convergent functionally important residues that could explain wider patterns of susceptibility across mammals. We conclude that horseshoe bats have numerous signatures of adaptation, including some potentially related to immune response to viruses, in genomic regions with diverse and multiscale mutational changes."
39921778,"The biodegradation of polyurethane foam (PU foam) using a combination of oxidative pre-treatment (ozonization) and Tenebrio molitor (T. molitor) mealworms was conducted in this study. Different degrees of ozone oxidation (0%, 25%, and 50%) were applied to PU foam, which was subsequently fed to mealworms. The mealworms' survival and growth were then compared to mealworms receiving a normal diet (bran). Results showed that mealworms fed with non-oxidized PU foam (PUF0) exhibited a higher consumption rate (11.8%) than those fed with 25% (PUF25) and 50% (PUF50) oxidized PU foam (7.7% and 5.7%, respectively). The survival rate was similar across all the PU foam diets and the bran diet. Fourier transform infrared (FTIR) spectroscopy and differential scanning calorimetry (DSC) analyses revealed minor structural changes in the PU foam. The gut microbiota analysis showed a significant correlation between the PU foam and bran diets. Among the different oxidized PU, distinct microbial community profiles were also observed, with the genus Klebsiella consistently present across the PU foam diets. The ozone pre-treatment altered the palatability and degradation of the PU foam by mealworms, while the mealworm frass and chitin obtained could potentially be used as resources for agricultural and industrial applications that would close the circular bio-economy cycle."
39919579,"Circular bio-based building materials (CBBMs) offer a sustainable solution for reducing the climate impact of buildings and are crucial for transitioning the construction industry towards a circular economy (CE). Reusing, cascading, and recycling municipal biowaste, agricultural by-products, and residues to produce CBBMs can optimise resource utilisation and deliver substantial environmental, economic, and social benefits, as well as promote a circular bioeconomy (CBE). Despite these benefits, the CBBM adoption in the Global South remains limited due to various barriers. Notably, the existing literature lacks research into the current use status and adoption barriers of CBBMs in these regions. This study addresses these gaps by investigating the usage and barriers to CBBM adoption, based on insights from building professionals in Vietnam. Data from 123 valid responses were analysed using descriptive statistics, ranking analysis, and exploratory factor analysis. The findings indicate that ""circular bio-based panels or particle boards"", ""agricultural by-products mixed with clay for wall construction"", and ""circular bio-based concrete, bricks, fillers, or binders"" are the most commonly utilised CBBMs. Government-related barriers, such as ""building code restrictions and lack of regulation"", ""lack of government promotion and incentives"", and ""lack of design guides and tools for projects using CBBMs"", are identified as the most significant obstacles to CBBM uptake. Kendall's W and Whitney U tests reveal a strong consensus among experts, with no significant differences between those with and without firsthand CBBM experience regarding their ranks of barriers. Exploratory factor analysis identified 20 independent barriers, grouped into four components, with the one containing cost and time-related barriers emerging as the most dominant to market and technical-related, government-related, and information and perception-related barriers. The study's findings could provide useful insights for policy recommendations to promote CBBM adoption in Vietnam. These insights may also inform strategies in other Global South countries with similar socioeconomic conditions to facilitate the transition to CE and CBE, mitigating climate change impact, and promoting sustainable development."
39916338,"Biofertilizers are considered as a sustainable solution for promoting the growth and productivity of crops while reducing the dependence on chemical fertilizers. There is a growing need for the sustainable agricultural solutions to lessen the reliance on chemical fertilizers; thus, evaluating Bacillus strains as biofertilizers for cotton growth promotion can support eco-friendly and economically viable crop production. Therefore, the growth promoting potential of endophytic Bacillus altitudinis strain TM22 and B. atrophaeus strain MCM61 applied as soil drenching or seed treatment, was evaluated on cotton cv. 'SS32'. In vitro, the qualitative assay both TM22 and MCM61 showed proteolytic, amylolytic, lipolytic, cellulolytic, and chitinolytic activity. TM22 and MCM61 strains also demonstrated the ability to produce siderophores, indole 3-acetic acid (IAA), and phosphate solubilization. In the pot experiment, seed biopriming with TM22 and MCM61 had better performance regarding plant growth and biomass, photosynthetic pigments, stomatal conductance, and relative leaf water contents than the soil drenching application. The gene expression analysis of growth hormones-related genes demonstrated that TM22 and MCM61 showed an upregulated expression of ARF1, ARF18, EXP6, IAA9, GIB1b, and CKX6 while ERF and ERF17 genes were downregulated. Overall, these findings suggest that seed biopriming with B. altitudinis TM22 and B. atrophaeus MCM61 is an effective method with the potential to enhance the biomass of cotton."
39914116,"High Production Volume Chemicals (HPVCs) are contaminants that pose serious threats to aquatic environments and species that inhabit them, given their massive production and ubiquitous distribution across biological compartments. Among them, organophosphate esters (OPEs) are of particular concern, as they are widely used as plasticizers and flame-retardants, and linked to various forms of toxicity in marine organisms. In this study, we investigated the ecotoxicological response of juvenile gilthead seabream Sparus aurata to the OPE tris (2-chloroisopropyl) phosphate (TCPP) following chronic dietary exposure to three different concentrations (low, D1: 0.2 mg kg-1; ecologically relevant, D2: 2 mg kg-1; and high, D3: 10 mg kg-1). Different biomarkers indicative of antioxidant defence mechanisms (catalase, CAT, glutathione S-transferase, GST, activities), metabolism (citrate synthase, CS, lactate dehydrogenase, LDH, activities) and endocrine disruption (vitellogenin content, VTG), as well as cell (lipid peroxidation levels, LPO) and protein damage (ubiquitin content, UBI) were analyzed in liver and muscle to assess TCPP toxicity. High concentrations of TCPP affected S. aurata growth, but not overall fitness condition. Furthermore, metabolic disruption and severe oxidative damages were observed, regardless of exposure dose. VTG content significantly decreased after exposure to all TCPP dosages, indicating a possible masculinization effect. These findings provide new insights to the scientific knowledge on TCPP ecotoxicological attributes and impacts on marine ichthyofauna. In addition, our results confirm the relevance of conducting integrated multi-biomarker approaches to disclose the ecotoxicological effects of poorly studied chemical contaminants and, ultimately, implement wastewater treatment strategies and legislation to protect marine ecosystems from pollution."
39910851,"There is a need for ground-breaking technologies to boost crop yield, both grains and biomass, and their processing into economically competitive materials. Novel cereals with enhanced photosynthesis and assimilation of greenhouse gasses, such as carbon dioxide and ozone, and tailored straw suitable for industrial manufacturing, open a new perspective for the circular economy. Here we describe the vision, strategies, and objectives of BEST-CROP, a Horizon-Europe and United Kingdom Research and Innovation (UKRI) funded project that relies on an alliance of academic plant scientists teaming up with plant breeding companies and straw processing companies to use the major advances in photosynthetic knowledge to improve barley biomass and to exploit the variability of barley straw quality and composition. We adopt the most promising strategies to improve the photosynthetic properties and ozone assimilation capacity of barley: (i) tuning leaf chlorophyll content and modifying canopy architecture; (ii) increasing the kinetics of photosynthetic responses to changes in irradiance; (iii) introducing photorespiration bypasses; (iv) modulating stomatal opening, thus increasing the rate of carbon dioxide fixation and ozone assimilation. We expect that by improving our targeted traits we will achieve increases in aboveground total biomass production without modification of the harvest index, with added benefits in sustainability via better resource-use efficiency of water and nitrogen. In parallel, the resulting barley straw is tailored to: (i) increase straw protein content to make it suitable for the development of alternative biolubricants and feed sources; (ii) control cellulose/lignin contents and lignin properties to develop straw-based construction panels and polymer composites. Overall, by exploiting natural- and induced-genetic variability as well as gene editing and transgenic engineering, BEST-CROP will lead to multi-purpose next generation barley cultivars supporting sustainable agriculture and capable of straw-based applications."
39910383,"Over the past billion years, the fungal kingdom has diversified to more than two million species, with over 95% still undescribed. Beyond the well-known macroscopic mushrooms and microscopic yeast, fungi are heterotrophs that feed on almost any organic carbon, recycling nutrients through the decay of dead plants and animals and sequestering carbon into Earth's ecosystems. Human-directed applications of fungi extend from leavened bread, alcoholic beverages and biofuels to pharmaceuticals, including antibiotics and psychoactive compounds. Conversely, fungal infections pose risks to ecosystems ranging from crops to wildlife to humans; these risks are driven, in part, by human and animal movement, and might be accelerating with climate change. Genomic surveys are expanding our knowledge of the true biodiversity of the fungal kingdom, and genome-editing tools make it possible to imagine harnessing these organisms to fuel the bioeconomy. Here, we examine the fungal threats facing civilization and investigate opportunities to use fungi to combat these threats."
39910223,"In this study, the physicochemical properties (electrical conductivity (EC), pH, free acidity, moisture content, DPPH radical scavenging activity, total polyphenols content (TPC), flavonoids content (FC), individual polyphenols, carbohydrates, and organic acids), microbiological quality, and antibacterial activity of honey (raspberry, rosehip, alfalfa, hawthorn, and honeydew honey) from Bucovina were evaluated. Along with melissopalynological analysis, the physicochemical parameters were determined for the honey samples to characterize the samples and to assess their applicability in classifying honey based on its botanical origin. Another objective of the study was the evaluation of the microbiological quality and antibacterial activity of honey samples. The antibacterial activity was examined against the growth of four pathogenic bacterial strains (Staphylococcus aureus ATCC 29213, Escherichia coli ATCC 25922, Pseudomonas aeruginosa ATCC 27853, and Salmonella enterica serovar Typhimurium ATCC 14028) by the diffusion test in the agar well and by determining the minimum inhibitory concentration (MIC) and the minimum bactericidal concentration (MBC). The analyzed honey samples were within the safe limits, except for three samples in which Bacillus cereus was detected and two other samples that had values above the acceptable limit for yeasts. Thus, 40.46% of all honey samples had bactericidal activity that was superior or at least comparable to manuka honey MGO550 against Staphylococcus aureus, 57.69% against Salmonella enterica serovar Typhimurium, 74.15% against Pseudomonas aeruginosa, and 75% against Escherichia coli. Of all types of honey analyzed in this study, honeydew honey had the highest bactericidal activity, followed by polyfloral honey."
