PMID,Abstract,Processed_abstract
39921056,"In the present study, we investigated the potential use of five linear peptides as a potential antigens for the immunodiagnosis of tegumentary leishmaniasis (TL) and canine visceral leishmaniasis (CVL). We used bioinformatics approaches to identify linear B-cell epitopes in five hypothetical proteins from a Leishmania (Leishmania) infantum proteome study. To obtain the peptide sequences of each hypothetical protein, we used the GenBank and SwissProt online databases. These peptides were synthesized and tested, alone or in a cocktail, in enzyme-linked immunosorbent assays (ELISAs) against serum samples from patients with TL and from dogs infected with CVL. Our data shows that for CVL diagnosis, the best results were found with peptides 1 and 5, which showed sensitivity values of 97.30% and 94.54%, and specificity values of 93.83% (pep 1) and 91.63% (pep 5), respectively. For TL, all peptides showed higher sensitivity and specificity when compared with SLALb, with the peptide cocktail obtaining a 99.10% accuracy. This study's outcome suggests that these peptides may constitute a potential tool for a more sensitive and specific serodiagnosis of TL and CVL.","present study , investigated potential use five linear peptide potential antigen immunodiagnosis tegumentary leishmaniasis tl canine visceral leishmaniasis cvl . used bioinformatics approach identify linear b-cell epitope five hypothetical protein leishmania leishmania infantum proteome study . obtain peptide sequence hypothetical protein , used genbank swissprot online database . peptide synthesized tested , alone cocktail , enzyme-linked immunosorbent assay elisa serum sample patient tl dog infected cvl . data show cvl diagnosis , best result found peptide 1 5 , showed sensitivity value 97.30 % 94.54 % , specificity value 93.83 % pep 1 91.63 % pep 5 , respectively . tl , peptide showed higher sensitivity specificity compared slalb , peptide cocktail obtaining 99.10 % accuracy . study outcome suggests peptide may constitute potential tool sensitive specific serodiagnosis tl cvl ."
39921049,"Circular RNAs (circRNAs) are a large class of widely expressed RNAs with covalently closed continuous structures. However, it is currently unknown if circRNAs shows allele-specific expression, as are the consequences of genetic variation on their circularization efficiency and subsequent biological function. Here, we propose a novel pipeline, ASE-circRNA, to accurately quantify both circRNA and their related linear RNA for each allele, and then assess the allele-specificity of the expression of a circular RNA. We identified and analyzed allele-specific circRNAs from human tissue, as well as brains from reciprocal crosses between pairs of highly divergent strains of both mice and pigs by next generation sequencing. Droplet digital PCR (ddPCR) was used to confirm the circularization efficiency measured by next generation sequencing. We found that variation in intron sequences affect the circularization efficiency of circRNAs. Furthermore, we demonstrate that a circRNA, circHK1, regulates the expression of POLR2A to influence the rate of cell proliferation. Our study provides new insight into the molecular mechanisms impacted by variation in genome sequence in the origin of human disease and phenotype.","circular rna circrnas large class widely expressed rna covalently closed continuous structure . however , currently unknown circrnas show allele-specific expression , consequence genetic variation circularization efficiency subsequent biological function . , propose novel pipeline , ase-circrna , accurately quantify circrna related linear rna allele , ass allele-specificity expression circular rna . identified analyzed allele-specific circrnas human tissue , well brain reciprocal cross pair highly divergent strain mouse pig next generation sequencing . droplet digital pcr ddpcr used confirm circularization efficiency measured next generation sequencing . found variation intron sequence affect circularization efficiency circrnas . furthermore , demonstrate circrna , circhk1 , regulates expression polr2a influence rate cell proliferation . study provides new insight molecular mechanism impacted variation genome sequence origin human disease phenotype ."
39921040,Tissue-resident memory CD4 T cells (Trm) are linked to asthma exacerbations and being able to reduce their frequency or activity has implications for clinical therapy.,tissue-resident memory cd4 cell trm linked asthma exacerbation able reduce frequency activity implication clinical therapy .
39921821,"Over the past few years, the tumor microbiome is increasingly recognized for its multifaceted involvement in cancer initiation, progression, and metastasis. With the application of 16S ribosomal ribonucleic acid (16S rRNA) sequencing, the intratumoral microbiome, also referred to as tumor-intrinsic or tumor-resident microbiome, has also been found to play a significant role in the tumor microenvironment (TME). Understanding their complex functions is critical for identifying new therapeutic avenues and improving treatment outcomes. This review first summarizes the origins and composition of these microbial communities, emphasizing their adapted diversity across a diverse range of tumor types and stages. Moreover, we outline the general mechanisms by which specific microbes induce tumor initiation, including the activation of carcinogenic pathways, deoxyribonucleic acid (DNA) damage, epigenetic modifications, and chronic inflammation. We further propose the tumor microbiome may evade immunity and promote angiogenesis to support tumor progression, while uncovering specific microbial influences on each step of the metastatic cascade, such as invasion, circulation, and seeding in secondary sites. Additionally, tumor microbiome is closely associated with drug resistance and influences therapeutic efficacy by modulating immune responses, drug metabolism, and apoptotic pathways. Furthermore, we explore innovative microbe-based therapeutic strategies, such as engineered bacteria, oncolytic virotherapy, and other modalities aimed at enhancing immunotherapeutic efficacy, paving the way for microbiome-centered cancer treatment frameworks.","past year , tumor microbiome increasingly recognized multifaceted involvement cancer initiation , progression , metastasis . application 16 ribosomal ribonucleic acid 16 rrna sequencing , intratumoral microbiome , also referred tumor-intrinsic tumor-resident microbiome , also found play significant role tumor microenvironment tme . understanding complex function critical identifying new therapeutic avenue improving treatment outcome . review first summarizes origin composition microbial community , emphasizing adapted diversity across diverse range tumor type stage . moreover , outline general mechanism specific microbe induce tumor initiation , including activation carcinogenic pathway , deoxyribonucleic acid dna damage , epigenetic modification , chronic inflammation . propose tumor microbiome may evade immunity promote angiogenesis support tumor progression , uncovering specific microbial influence step metastatic cascade , invasion , circulation , seeding secondary site . additionally , tumor microbiome closely associated drug resistance influence therapeutic efficacy modulating immune response , drug metabolism , apoptotic pathway . furthermore , explore innovative microbe-based therapeutic strategy , engineered bacteria , oncolytic virotherapy , modality aimed enhancing immunotherapeutic efficacy , paving way microbiome-centered cancer treatment framework ."
39921808,"The Lewis spider mite (LSM), Eotetranychus lewisi, is an important pest of poinsettias (Euphorbia pulcherrima) and agricultural crops worldwide. In Europe it is a quarantine-regulated pest with established outdoor populations in Portugal. We investigated the pest status and host plants of the LSM in Madeira and the Algarve, collecting and inspecting plants and crops. The LSM was mainly found on naturalized poinsettias and castor-bean. Additionally, live mites were collected in very low numbers from plants of vine, cherimoya, mango, papaya, cherry plum, wild tobacco, and bladder vine, in direct contact or close to LSM-infested poinsettias, strongly suggesting these plants would not be breeding hosts. LSM abundance was low and no damage was observed. Mites were absent from strawberry, bramble and citrus, important hosts worldwide. Field surveys were complemented with a citizen-science experiment in outdoor conditions to test whether proximity to mite-infested poinsettias affected subsequent detections on poinsettia, strawberry, or grapevine. After two months of exposure to potentially dispersing LSM individuals and a further two months under controlled conditions to allow the mite to develop, LSM was detected on the three-recipient species but at low infestation rates, with a higher number of infested leaves and abundance on poinsettias, and absence of damages to crops. Overall, we conclude that the primary reservoirs for LSM populations in southwestern Europe are poinsettia and castor-bean plants, and our results suggest that the LSM is not causing damages to crops and may not be as harmful as expected, which can have implications to the current quarantine-regulation of this mite in Europe.","lewis spider mite lsm , eotetranychus lewisi , important pest poinsettia euphorbia pulcherrima agricultural crop worldwide . europe quarantine-regulated pest established outdoor population portugal . investigated pest status host plant lsm madeira algarve , collecting inspecting plant crop . lsm mainly found naturalized poinsettia castor-bean . additionally , live mite collected low number plant vine , cherimoya , mango , papaya , cherry plum , wild tobacco , bladder vine , direct contact close lsm-infested poinsettia , strongly suggesting plant would breeding host . lsm abundance low damage observed . mite absent strawberry , bramble citrus , important host worldwide . field survey complemented citizen-science experiment outdoor condition test whether proximity mite-infested poinsettia affected subsequent detection poinsettia , strawberry , grapevine . two month exposure potentially dispersing lsm individual two month controlled condition allow mite develop , lsm detected three-recipient specie low infestation rate , higher number infested leaf abundance poinsettia , absence damage crop . overall , conclude primary reservoir lsm population southwestern europe poinsettia castor-bean plant , result suggest lsm causing damage crop may harmful expected , implication current quarantine-regulation mite europe ."
39921774,"The gut microbiota plays a crucial role in the communication between the gut, liver, and brain through the production of short chain fatty acids (SCFAs). SCFAs serve as key mediators in the Gut-Liver-Brain Axis, influencing various physiological processes and contributing to overall health. SCFAs are produced by bacterial fermentation of dietary fiber in the gut, and they exert systemic effects by signaling through various pathways. In the Gut-Liver axis, SCFAs regulate liver metabolism through peroxisome proliferator-activated receptor-γ (PPAR-γ), AMP-activated protein kinase (AMPK) and other pathways, promotes fat oxidation, modulate inflammation through mTOR pathway, and impact metabolic health. In the Gut-Brain axis, SCFAs influence brain function, behavior, and may have implications for neurological disorders, in which G-protein coupled receptors (GPCRs) play an essential role, along with other pathways such as hypothalamic-pituitary-adrenal (HPA) pathway. Understanding the mechanisms by which SCFAs mediate communication between the gut, liver, and brain is crucial for elucidating the complex interplay of the Gut-Liver-Brain Axis. This review aims to provide insight into the role of gut microbiota-derived SCFAs as mediators of the Gut-Liver-Brain Axis and their potential therapeutic implications. Further research in this area will be instrumental in developing novel strategies to target the Gut-Liver-Brain Axis for the prevention and treatment of various health conditions.","gut microbiota play crucial role communication gut , liver , brain production short chain fatty acid scfas . scfas serve key mediator gut-liver-brain axis , influencing various physiological process contributing overall health . scfas produced bacterial fermentation dietary fiber gut , exert systemic effect signaling various pathway . gut-liver axis , scfas regulate liver metabolism peroxisome proliferator-activated receptor- ppar- , amp-activated protein kinase ampk pathway , promotes fat oxidation , modulate inflammation mtor pathway , impact metabolic health . gut-brain axis , scfas influence brain function , behavior , may implication neurological disorder , g-protein coupled receptor gpcrs play essential role , along pathway hypothalamic-pituitary-adrenal hpa pathway . understanding mechanism scfas mediate communication gut , liver , brain crucial elucidating complex interplay gut-liver-brain axis . review aim provide insight role gut microbiota-derived scfas mediator gut-liver-brain axis potential therapeutic implication . research area instrumental developing novel strategy target gut-liver-brain axis prevention treatment various health condition ."
39921773,"Anorexia nervosa (AN) and depression are complex conditions with high comorbidity, impacting mental and physical health. Recent research suggests gut microbiota plays a significant role in their development and progression. This correspondence highlights the critical gaps in understanding the gut-brain axis in AN and depression, emphasizing the need for comprehensive research. We discuss recent findings, including altered gut microbiota profiles and inflammatory factors, and identify key areas for future investigation. These include large-scale, multi-center studies to quantify microbiota profiles, mechanistic understanding of gut microbiota alterations, and diagnostic and therapeutic advances using microbiota as biomarkers. Addressing these gaps is crucial for developing effective treatment strategies and improving patient outcomes. By exploring the underlying mechanisms, validating biomarkers, and developing targeted therapies, we can enhance diagnostic accuracy, improve treatment outcomes, and better support patients with AN and depression. This research has the potential to transform the management of these conditions and improve quality of life for those affected.Level of evidence Low level of evidence as it is a personal opinion.","anorexia nervosa depression complex condition high comorbidity , impacting mental physical health . recent research suggests gut microbiota play significant role development progression . correspondence highlight critical gap understanding gut-brain axis depression , emphasizing need comprehensive research . discus recent finding , including altered gut microbiota profile inflammatory factor , identify key area future investigation . include large-scale , multi-center study quantify microbiota profile , mechanistic understanding gut microbiota alteration , diagnostic therapeutic advance using microbiota biomarkers . addressing gap crucial developing effective treatment strategy improving patient outcome . exploring underlying mechanism , validating biomarkers , developing targeted therapy , enhance diagnostic accuracy , improve treatment outcome , better support patient depression . research potential transform management condition improve quality life affected.level evidence low level evidence personal opinion ."
39921729,"Emerging research indicates that gut microbiota and the associated immune responses are crucial in the development of chronic inflammatory skin diseases. This investigation employs Mendelian Randomization (MR) and Bayesian weighting to elucidate the causal links between gut microbiota, immune cells, and psoriasis, with a specific emphasis on CD8 + T cells. We leveraged summary statistics from genome-wide association studies (GWAS) related to gut microbiota, immune cells, and psoriasis. Single nucleotide polymorphisms (SNPs) were chosen as instrumental variables (IVs) to evaluate causal relationships through various MR methods, such as inverse variance weighted (IVW), MR Egger, weighted median, and simple mode. Additionally, Bayesian weighting was used to validate results and account for potential pleiotropy. The IVW analysis revealed significant associations between certain gut microbiota and psoriasis, notably identifying a protective link between Escherichia coli and psoriasis. Further MR analysis demonstrated that Escherichia coli had a causal relationship with CD8 + T cells. Increased levels of CD8 + T cells were associated with a higher risk of psoriasis. BWMR analysis confirmed these findings, showing that CD8 + T cells mediated 10.09% of the protective effect of Escherichia coli on psoriasis. This study underscores the significant role of Escherichia coli and CD8 + T cells in psoriasis, suggesting both protective and exacerbating effects. Understanding these microbiota-immune interactions can lead to the development of more effective, personalized treatments and preventative strategies, ultimately improving patient outcomes and quality of life.","emerging research indicates gut microbiota associated immune response crucial development chronic inflammatory skin disease . investigation employ mendelian randomization mr bayesian weighting elucidate causal link gut microbiota , immune cell , psoriasis , specific emphasis cd8 + cell . leveraged summary statistic genome-wide association study gwas related gut microbiota , immune cell , psoriasis . single nucleotide polymorphism snp chosen instrumental variable iv evaluate causal relationship various mr method , inverse variance weighted ivw , mr egger , weighted median , simple mode . additionally , bayesian weighting used validate result account potential pleiotropy . ivw analysis revealed significant association certain gut microbiota psoriasis , notably identifying protective link escherichia coli psoriasis . mr analysis demonstrated escherichia coli causal relationship cd8 + cell . increased level cd8 + cell associated higher risk psoriasis . bwmr analysis confirmed finding , showing cd8 + cell mediated 10.09 % protective effect escherichia coli psoriasis . study underscore significant role escherichia coli cd8 + cell psoriasis , suggesting protective exacerbating effect . understanding microbiota-immune interaction lead development effective , personalized treatment preventative strategy , ultimately improving patient outcome quality life ."
39921224,"Benthic bacterial communities are sensitive to habitat condition and present a fast response to environmental stressors, which makes them powerful ecological indicators of estuarine environments. The aim of this work is to study the spatial-temporal patterns of benthic bacterial communities in response to contrasting environmental conditions and assess their potential as ecological indicators of estuarine sediments. We characterized the diversity of bacterial communities in three contrasting sites on Sado Estuary (SW Coast, Portugal) and 4 sampling occasions, using 16S metagenomic approach. Based on previous studies, we hypothesized that diversity patterns of bacterial communities will be distinct between sites and across sampling occasions. Bacterial communities were more influenced by each site conditions than by temporal variations in the sediments. The main drivers of bacterial distribution were sediments' composition, organic contents, and hydrodynamic activity. This work provided an important baseline dataset from Sado estuary to explore bacterial networks concerning benthic ecosystem functioning.","benthic bacterial community sensitive habitat condition present fast response environmental stressor , make powerful ecological indicator estuarine environment . aim work study spatial-temporal pattern benthic bacterial community response contrasting environmental condition ass potential ecological indicator estuarine sediment . characterized diversity bacterial community three contrasting site sado estuary sw coast , portugal 4 sampling occasion , using 16 metagenomic approach . based previous study , hypothesized diversity pattern bacterial community distinct site across sampling occasion . bacterial community influenced site condition temporal variation sediment . main driver bacterial distribution sediment composition , organic content , hydrodynamic activity . work provided important baseline dataset sado estuary explore bacterial network concerning benthic ecosystem functioning ."
39920970,"To evaluate the potential differences in plankton diversity and stability within freshwater lake and reservoir ecosystems, this study employed eDNA metabarcoding to analyze the diversity, assembly mechanisms, stability, and environmental drivers of plankton communities in natural water (Y region) and artificial lake water (M region) at Liupanshui Minghu National Wetland Park, Guizhou Province, China. The study revealed notable regional variations in plankton diversity and assembly mechanisms. Specifically, Shannon, Simpson, and Pielou's evenness indices were higher in the M region, suggesting a more complex species composition compared to the Y region. Analysis of community assembly mechanisms indicated that both regions were influenced by a combination of stochastic and deterministic processes, with stochastic processes serving as the dominant driver. Through LEfSe analysis, Random Forest predictions, and molecular ecological network evaluations, certain OTUs identified as ""dual-characteristic"" species were consistently highlighted. These species may play a critical role in shaping community composition and contributing to stability. Environmental drivers further clarified these differences. Redundancy analysis (RDA) demonstrated that TDS was the primary factor driving regional differences in key zooplankton species, while EC and DO were significant factors influencing the distribution of key phytoplankton species. Stability assessments, which combined molecular ecological network analysis and the coefficient of variation in species population density, revealed higher stability in the Y region. This indicates that the natural water system (Y region) has a greater resistance to disturbances compared to the artificial system in the M region. The findings provide fundamental support for assessing the health of aquatic ecosystems, as well as for the effective monitoring and biodiversity conservation of lake and reservoir ecosystems.","evaluate potential difference plankton diversity stability within freshwater lake reservoir ecosystem , study employed edna metabarcoding analyze diversity , assembly mechanism , stability , environmental driver plankton community natural water region artificial lake water region liupanshui minghu national wetland park , guizhou province , china . study revealed notable regional variation plankton diversity assembly mechanism . specifically , shannon , simpson , pielous evenness index higher region , suggesting complex specie composition compared region . analysis community assembly mechanism indicated region influenced combination stochastic deterministic process , stochastic process serving dominant driver . lefse analysis , random forest prediction , molecular ecological network evaluation , certain otus identified dual-characteristic specie consistently highlighted . specie may play critical role shaping community composition contributing stability . environmental driver clarified difference . redundancy analysis rda demonstrated tds primary factor driving regional difference key zooplankton specie , ec significant factor influencing distribution key phytoplankton specie . stability assessment , combined molecular ecological network analysis coefficient variation specie population density , revealed higher stability region . indicates natural water system region greater resistance disturbance compared artificial system region . finding provide fundamental support assessing health aquatic ecosystem , well effective monitoring biodiversity conservation lake reservoir ecosystem ."
39920968,"Microplastics serve as favorable substrates for microbial colonization, promoting biofilm formation, which consequently facilitates the accumulation of pollutants and aids in the degradation of microplastics. Hence, obtaining a thorough comprehension of the factors that influence the development of microplastic biofilms is imperative. Nevertheless, there have been conflicting responses concerning biofilm formation in conjunction with microplastic characteristics and environmental conditions. As a result, a meta-analysis was conducted to quantitatively evaluate the impact of microplastic properties and environmental factors on biofilm formation. The findings indicated that the type and size of microplastics significantly influence biofilm growth on their surfaces. Non-degradable microplastics, particularly polyvinyl chloride (PVC) and polystyrene (PS), exhibited higher surface biomass and biodiversity in microplastic-attached biofilms compared to degradable microplastics. Furthermore, it was observed that smaller microplastics were more conducive to microbial colonization. Model selection and correlation analysis further indicated that the environment acts as a substantial predictor of biofilm formation, with prolonged exposure significantly enhancing microbial diversity within biofilms as opposed to short-term exposure. Moreover, meta-regression analysis illustrated a positive correlation between biofilm biomass and alpha-diversity with temperature, while salinity exhibited a negative correlation in diverse aquatic settings. Notably, the ease of biofilm formation on microplastics was observed to be greater in oceans compared to lakes, yet biofilms exhibited a higher diversity increment in lakes than their oceanic counterparts. In the long-term growth of biofilms, initial biomass and diversity are influenced by microplastic characteristics and the surrounding environment, although environmental influences may assume more significance as time progresses.","microplastics serve favorable substrate microbial colonization , promoting biofilm formation , consequently facilitates accumulation pollutant aid degradation microplastics . hence , obtaining thorough comprehension factor influence development microplastic biofilms imperative . nevertheless , conflicting response concerning biofilm formation conjunction microplastic characteristic environmental condition . result , meta-analysis conducted quantitatively evaluate impact microplastic property environmental factor biofilm formation . finding indicated type size microplastics significantly influence biofilm growth surface . non-degradable microplastics , particularly polyvinyl chloride pvc polystyrene p , exhibited higher surface biomass biodiversity microplastic-attached biofilms compared degradable microplastics . furthermore , observed smaller microplastics conducive microbial colonization . model selection correlation analysis indicated environment act substantial predictor biofilm formation , prolonged exposure significantly enhancing microbial diversity within biofilms opposed short-term exposure . moreover , meta-regression analysis illustrated positive correlation biofilm biomass alpha-diversity temperature , salinity exhibited negative correlation diverse aquatic setting . notably , ease biofilm formation microplastics observed greater ocean compared lake , yet biofilms exhibited higher diversity increment lake oceanic counterpart . long-term growth biofilms , initial biomass diversity influenced microplastic characteristic surrounding environment , although environmental influence may assume significance time progress ."
39920932,"We developed a complex coacervation method of preparing Cinnamomum camphora essential oil (CEO) microcapsules using gelatin and gum arabic as wall materials. The microencapsulation process was optimized using Plackett-Burman and Box-Behnken designs with a maximum yield of 84.48 ± 3.15 % and encapsulation efficiency of 91.89 ± 2.71 %. The thermogravimetric analysis demonstrated that the microencapsulation process clearly enhanced the thermal stability of the CEO, and assessment of their controlled-release ability revealed that the release mechanism of the microcapsules resembled diffusion. The CEO microcapsules exhibited effective antifungal activity against Fusarium culmorum and Fusarium sporotrichioides, and the inhibitory effect was highly correlated with the fumigation concentration of the microcapsules. This study provides valuable information for utilizing microcapsule carriers to deliver CEO as well as improve its preservation stability, which will broaden the applications of the CEO in the agricultural and food preservation industries.","developed complex coacervation method preparing cinnamomum camphora essential oil ceo microcapsules using gelatin gum arabic wall material . microencapsulation process optimized using plackett-burman box-behnken design maximum yield 84.48 3.15 % encapsulation efficiency 91.89 2.71 % . thermogravimetric analysis demonstrated microencapsulation process clearly enhanced thermal stability ceo , assessment controlled-release ability revealed release mechanism microcapsules resembled diffusion . ceo microcapsules exhibited effective antifungal activity fusarium culmorum fusarium sporotrichioides , inhibitory effect highly correlated fumigation concentration microcapsules . study provides valuable information utilizing microcapsule carrier deliver ceo well improve preservation stability , broaden application ceo agricultural food preservation industry ."
39920902,"Invasive species present significant management challenges worldwide due to their ability to rapidly adapt to novel environments. The Pacific oyster Crassostrea gigas, a globally distributed invasive species, arrived in western Sweden in 2006 but has not yet colonised the low salinity waters of the Baltic Sea, presumably because low salinities act as a barrier to reproduction. We used classic mating designs to investigate fertilisation rates and heritability of embryonal salinity tolerance (in 8‰-33‰) in oysters from three locations with different invasion history and salinity (established, 33‰; past invasion front, 23.5‰; and present invasion front, 16‰). We found that fertilisation rates at lower salinities increased with proximity to the range front, with a pronounced heritable component. We then used whole-genome sequencing of oysters from the present invasion front to identify genomic regions showing stronger deviations from Mendelian inheritance in larval full-sib families reared in low salinity compared to controls. These regions contained coding sequences for Histones and ribosomal DNA, with the paternal genotype explaining a significant proportion of the deviation, suggesting the involvement of sperm in modulation of low-salinity tolerance at fertilisation and early development. Furthermore, we found no evidence of recent bottlenecks along the invasion front. We conclude that the Pacific oyster has developed low-salinity tolerant reproductive phenotypes at the present invasion front through acclimation and natural selection. Given the strong heritability for tolerance to low-salinities at fertilisation, the species likely has the potential to adapt further to low-salinity conditions and may invade the Baltic Sea.","invasive specie present significant management challenge worldwide due ability rapidly adapt novel environment . pacific oyster crassostrea gigas , globally distributed invasive specie , arrived western sweden 2006 yet colonised low salinity water baltic sea , presumably low salinity act barrier reproduction . used classic mating design investigate fertilisation rate heritability embryonal salinity tolerance 8-33 oyster three location different invasion history salinity established , 33 past invasion front , 23.5 present invasion front , 16. found fertilisation rate lower salinity increased proximity range front , pronounced heritable component . used whole-genome sequencing oyster present invasion front identify genomic region showing stronger deviation mendelian inheritance larval full-sib family reared low salinity compared control . region contained coding sequence histone ribosomal dna , paternal genotype explaining significant proportion deviation , suggesting involvement sperm modulation low-salinity tolerance fertilisation early development . furthermore , found evidence recent bottleneck along invasion front . conclude pacific oyster developed low-salinity tolerant reproductive phenotype present invasion front acclimation natural selection . given strong heritability tolerance low-salinities fertilisation , specie likely potential adapt low-salinity condition may invade baltic sea ."
39920864,"Neonatal mice are frequently used to model diseases that affect human infants. Microbial community composition has been shown to impact disease progression in these models. Despite this, the maturation of the early-life murine microbiome has not been well-characterized. We address this gap by characterizing the assembly of the bacterial microbiota of C57BL/6 and BALB/c litters from birth to adulthood across multiple independent litters.","neonatal mouse frequently used model disease affect human infant . microbial community composition shown impact disease progression model . despite , maturation early-life murine microbiome well-characterized . address gap characterizing assembly bacterial microbiota c57bl/6 balb/c litter birth adulthood across multiple independent litter ."
39920808,"Wild edible plants (WEPs) are vital to enhance food security and generate income. Despite Ethiopia's vast area and cultural diversity, there remains a need for further investigation of WEPs. Therefore, this study aimed to document WEPs, and the indigenous knowledge associated with them in the Metema and Quara districts of north-western Ethiopia.","wild edible plant weps vital enhance food security generate income . despite ethiopia vast area cultural diversity , remains need investigation weps . therefore , study aimed document weps , indigenous knowledge associated metema quara district north-western ethiopia ."
39920804,"Weaning-associated enteric diseases are a major concern in the swine industry. This study investigates the effects of fecal microbiota transplantation (FMT) on the jejunum of weanling piglets, a segment of bowel less studied in terms of microbiomic changes despite its primary involvement in major post-weaning enteric diseases, including postweaning diarrhea (PWD). Thirty-two 3-week-old piglets were divided equally into two groups: Control and FMT. The FMT group received fecal microbiota preparation from 3-month-old healthy pigs on the 1st and 3rd day after weaning. Half of each group was inoculated with an enterotoxigenic E. coli (ETEC) isolate 10 days post-FMT. Piglets were euthanized in the third week (14th and 18th days post-FMT) after weaning to collect intestinal tissues and contents for microbiomic, metabolomic, and transcriptomic analyses.","weaning-associated enteric disease major concern swine industry . study investigates effect fecal microbiota transplantation fmt jejunum weanling piglet , segment bowel le studied term microbiomic change despite primary involvement major post-weaning enteric disease , including postweaning diarrhea pwd . thirty-two 3-week-old piglet divided equally two group control fmt . fmt group received fecal microbiota preparation 3-month-old healthy pig 1st 3rd day weaning . half group inoculated enterotoxigenic e. coli etec isolate 10 day post-fmt . piglet euthanized third week 14th 18th day post-fmt weaning collect intestinal tissue content microbiomic , metabolomic , transcriptomic analysis ."
39920791,"Despite the approval of several artificial nanotherapeutics for the treatment of triple-negative breast cancer (TNBC), significant challenges, including unsatisfactory therapeutic outcomes, severe side effects, and the high cost of large-scale production, still restrict their long-term application. In contrast, plant-derived extracellular vesicles (PEVs) exhibit promising potential in cancer therapy due to their negligible systemic toxicity, high bioavailability and cost- effectiveness. In this study, we developed an alternative strategy to inhibit TNBC via Platycodon grandiflorum (PG)-derived extracellular vesicles (PGEVs). The PGEVs were isolated by ultracentrifugation and sucrose gradient centrifugation method and contained adequate functional components such as proteins, lipids, RNAs and active molecules. PGEVs exhibited remarkable stability, tolerating acidic digestion and undergoing minimal changes in simulated gastrointestinal fluid. They were efficiently taken up by tumor cells and induced increased production of reactive oxygen species (ROS), leading to tumor cell proliferation inhibition and apoptosis, particularly in the TNBC cell line 4T1. Additionally, PGEVs facilitated the polarization of tumor-associated macrophages (TAMs) toward M1 phenotype and increased the secretion of pro-inflammatory cytokines. Further in vivo investigations revealed that PGEVs efficiently accumulated in 4T1 tumors and exerted significant therapeutic effects through boosting systemic anti-tumor immune responses and modulating the gut microbiota whether administered orally or intravenously (i.v.). In conclusion, these findings highlight PGEVs as a promising natural, biocompatible and efficient nanotherapeutic candidate for treating TNBC.","despite approval several artificial nanotherapeutics treatment triple-negative breast cancer tnbc , significant challenge , including unsatisfactory therapeutic outcome , severe side effect , high cost large-scale production , still restrict long-term application . contrast , plant-derived extracellular vesicle pevs exhibit promising potential cancer therapy due negligible systemic toxicity , high bioavailability cost- effectiveness . study , developed alternative strategy inhibit tnbc via platycodon grandiflorum pg-derived extracellular vesicle pgevs . pgevs isolated ultracentrifugation sucrose gradient centrifugation method contained adequate functional component protein , lipid , rna active molecule . pgevs exhibited remarkable stability , tolerating acidic digestion undergoing minimal change simulated gastrointestinal fluid . efficiently taken tumor cell induced increased production reactive oxygen specie ro , leading tumor cell proliferation inhibition apoptosis , particularly tnbc cell line 4t1 . additionally , pgevs facilitated polarization tumor-associated macrophage tam toward m1 phenotype increased secretion pro-inflammatory cytokine . vivo investigation revealed pgevs efficiently accumulated 4t1 tumor exerted significant therapeutic effect boosting systemic anti-tumor immune response modulating gut microbiota whether administered orally intravenously i.v .. conclusion , finding highlight pgevs promising natural , biocompatible efficient nanotherapeutic candidate treating tnbc ."
39920790,"Synthetic human milk oligosaccharides (HMOs) are used to supplement infant formula despite limited understanding of their impact on the post-weaned developing gut microbiota. Here, we assess the influence of 0.5 g/L 2-fucosyllactose (2'FL) and 4.0 g/L pooled HMOs (pHMOs) on the composition and activity of cultured fecal-derived microbial communities from seven healthy young children.","synthetic human milk oligosaccharide hmo used supplement infant formula despite limited understanding impact post-weaned developing gut microbiota . , ass influence 0.5 g/l 2-fucosyllactose 2fl 4.0 g/l pooled hmo phmos composition activity cultured fecal-derived microbial community seven healthy young child ."
39920776,"Altered gut microbiota has emerged as a major contributing factor to the etiology of chronic conditions in humans. Antibiotic exposure, historically dating back to the mass production of penicillin in the early 1940s, has been proposed as a primary contributor to the cumulative alteration of microbiota over generations. However, the mechanistic link between the antibiotics-altered microbiota and chronic conditions remains unclear.","altered gut microbiota emerged major contributing factor etiology chronic condition human . antibiotic exposure , historically dating back mass production penicillin early 1940s , proposed primary contributor cumulative alteration microbiota generation . however , mechanistic link antibiotics-altered microbiota chronic condition remains unclear ."
